scene_name,num_agents,min_ttc,off-road_rate,collision_rate,rss_lon,rss_lat,jsd_vel,jsd_acc,jsd_jerk,fdd
scene-0107,9,0.0,0.24888888888888888,0.1111111111111111,200,400,0.06508071259346596,0.08819663801303004,0.2055064903208218,4.788815113089935
scene-0108,15,0.0011289004168831963,0.103,0.0,50,16,0.044259616694943195,0.019780151717928088,0.06551930609864255,0.6643653403834293
scene-0109,16,0.0,0.118125,0.108125,374,675,0.33997455049651626,0.09211233334721737,0.2866958023460391,2.6164147999412135
scene-0110,18,0.0,0.10194444444444445,0.029722222222222223,668,161,0.18973900690315018,0.028035927148936237,0.07985076924810854,0.9633979119194876
scene-0221,11,0.0,0.4759090909090909,0.010454545454545454,43,60,0.6821920275046914,0.12188334624725175,0.4123190715101048,6.339167059209358
scene-0268,3,0.0008950671609540313,0.3333333333333333,0.0,0,0,0.30717925169228166,0.17128287299404527,0.3897591854302205,5.93905533104612
scene-0269,5,0.0,0.659,0.009,13,33,0.4835362593378283,0.15130409884407767,0.3032551648123469,5.58212252968236
scene-0270,1,,0.405,0.0,0,0,,,,9.181171682257402
scene-0271,4,0.0,0.52875,0.02875,39,110,0.31948503123671224,0.10477254686455932,0.4433397214169436,4.302763559441818
scene-0272,4,0.0030872501605625625,0.53,0.0,0,15,0.16004452598650284,0.06373719305672858,0.4850017266703296,8.608948725650185
scene-0273,5,0.0,0.326,0.01,15,32,0.7917616613843715,0.16740264896971838,0.29208328278106227,6.728645896510074
scene-0274,9,0.0015703237176586244,0.365,0.0,9,0,0.5110702941358566,0.11585153145895258,0.3864498876837408,4.88279463204724
scene-0275,9,0.0,0.17833333333333334,0.026111111111111113,36,213,0.09705057843437283,0.052235738447686295,0.20887084292901476,4.7224419612772985
scene-0276,12,0.0,0.23583333333333334,0.015416666666666667,89,321,0.2791466795439679,0.1338918334012113,0.24416503025588954,6.094273338317871
scene-0277,5,0.0,0.302,0.003,17,41,0.368356558950951,0.15247742799817188,0.2852238761160626,5.380161225971423
scene-0278,15,0.0,0.10333333333333333,0.06266666666666666,4,434,0.1351518381971821,0.03762315028317477,0.12467569360010354,1.8442425183747944
scene-0329,20,0.0,0.24425,0.1185,621,2356,0.09847658652079024,0.009812371888104635,0.05072675888465558,0.8432312943307977
scene-0330,14,0.005863250048225294,0.22178571428571428,0.0,0,597,0.004095586076047115,0.03656151030495399,0.17991746733438094,1.8164419555664062
scene-0331,42,0.0,0.07773809523809525,0.05035714285714286,424,5503,0.15608212103164026,0.021507341705279428,0.10415664107960033,1.2212942231448372
scene-0332,47,0.0,0.06829787234042553,0.00425531914893617,54,4024,0.03364298427607251,0.005141133323750578,0.034007163533759356,0.34729819644872445
scene-0344,9,0.0,0.31222222222222223,0.09555555555555556,232,775,0.6493829401463769,0.10493331183384849,0.39231039723528366,3.78968681826229
scene-0345,11,0.0,0.145,0.022272727272727274,95,295,0.12390229586080467,0.06252593521991151,0.24698157559444334,5.850779319653671
scene-0346,2,0.04162932974447473,0.1025,0.0,0,0,0.12472924441889682,0.08043309492358969,0.45082745213241116,8.684396057128906
scene-0519,26,0.0,0.23461538461538461,0.06769230769230769,442,883,0.37025346114585256,0.04774783045490555,0.16979568941028086,2.6718105448981526
