scene_name,num_agents,min_ttc,off-road_rate,collision_rate,rss_lon,rss_lat,jsd_vel,jsd_acc,jsd_jerk,fdd
scene-0003,8,0.003234460423000244,0.204375,0.0,0,0,0.16472176398396235,0.047886803562657204,0.13291908587166912,0.432195051905215
scene-0013,6,0.017029260580604447,0.1975,0.0,0,0,0.2602410322206785,0.029213999651877764,0.1162128242630164,0.6688647243775949
scene-0014,2,10.36899951416608,0.0325,0.0,0,0,0.4516988117439178,0.042033451589311495,0.08775137690569385,0.768952940536761
scene-0015,2,1.925240306022363,0.955,0.0,0,0,0.43231243377435635,0.08066322690585728,0.2984661820555664,3.182739088553445
scene-0017,2,3.4202817958875147,0.1975,0.0,0,0,0.1389395016288584,0.14168953388070935,0.13751563583143292,1.3921541076766228
scene-0018,21,0.0,0.09595238095238096,0.10738095238095238,362,1006,0.09003569659738826,0.036819020811840075,0.1124620744312722,0.8082584261067706
scene-0035,9,0.0,0.02666666666666667,0.013888888888888888,60,90,0.2952025936729827,0.058966909696380874,0.3076816085966906,0.4837177970290881
scene-0036,9,0.024372826751350822,0.12222222222222222,0.0,0,35,0.12500052830961184,0.01165170773646113,0.043696414968331196,0.5411416576480308
scene-0038,6,0.00232585489784392,0.2525,0.0,0,4,0.1311803570732016,0.0816614364134929,0.12996368062813207,1.830884190186074
scene-0039,15,0.0,0.058666666666666666,0.033666666666666664,146,314,0.6051216691891601,0.06956764567136058,0.19874288046554237,1.4552959281969493
scene-0093,34,0.0,0.10264705882352941,0.04852941176470588,436,1796,0.39841729457261704,0.07584645418132695,0.18403950534299762,0.9879924563302813
scene-0094,8,0.04433496071914678,0.280625,0.0,0,0,0.6531766730782086,0.1331705681157844,0.263666377993362,2.113536307910751
scene-0095,18,0.010246012584376674,0.15472222222222223,0.0,50,145,0.3677565357599929,0.0922434014268515,0.28662593862708474,1.6895085662687899
scene-0096,17,0.009402120352396596,0.13352941176470587,0.0,0,13,0.4027673270527184,0.12678875865906003,0.30870037384604415,1.356261931857355
scene-0097,13,0.0,0.030384615384615385,0.06076923076923077,167,316,0.16977958539674595,0.040650123663814146,0.08002844612116068,0.6740997123895995
scene-0098,18,0.0,0.08833333333333333,0.09305555555555556,461,931,0.7229344030742799,0.13310301277879372,0.35397497809975786,2.1320572390050048
scene-0099,22,0.0,0.09568181818181819,0.10363636363636364,686,932,0.19967197535645007,0.03037909107387739,0.10618426921261391,0.6164252296297781
scene-0100,16,0.0006045388429372306,0.0,0.0,0,400,0.07429816924523962,0.005573026969654402,0.018081213475895277,0.14684785278533177
scene-0101,15,0.0,0.013666666666666667,0.010333333333333333,5,204,0.18061238385358686,0.05169318835350622,0.11426850619263394,0.6161374413691861
scene-0102,14,0.0,0.0064285714285714285,0.008928571428571428,142,854,0.16049993305467616,0.08268224496870842,0.14870294082969038,1.1012725095010074
scene-0103,12,0.0,0.115,0.007916666666666667,44,71,0.4228798073472028,0.11925656049863026,0.27522401511952843,1.564222240695973
scene-0104,24,0.0,0.20104166666666667,0.019791666666666666,104,457,0.4620123754118923,0.08224583670874197,0.2080471608922763,1.7236445549897912
scene-0105,26,0.0,0.07192307692307692,0.009230769230769232,112,154,0.2874105325053993,0.052903477374048914,0.104734218283815,0.6991536489526103
scene-0106,22,0.0,0.16068181818181818,0.03727272727272727,256,402,0.4957157666272981,0.13363749176414177,0.3078850946281429,1.2294671968823638
scene-0107,9,0.0,0.155,0.1111111111111111,200,400,0.19634021780068578,0.12821245318815186,0.17302157845599336,1.3864387552959747
scene-0108,15,0.07237454733574754,0.06666666666666667,0.0,50,11,0.04692793298051571,0.017934975882886003,0.04329426974611312,0.09067700664202372
scene-0109,16,0.0,0.166875,0.09375,361,627,0.26815747995397365,0.07858813553519532,0.29180038992765395,0.7499323509169105
scene-0110,18,0.0,0.10861111111111112,0.03194444444444444,681,189,0.179192483597265,0.024493098850792237,0.07877823391719604,0.30520975713942156
scene-0221,11,0.0,0.30454545454545456,0.004090909090909091,19,50,0.4333857446527166,0.1234518060116524,0.290503110512652,2.23665250489408
scene-0268,3,0.09764165995407553,0.5183333333333333,0.0,0,0,0.20851285351011994,0.17216946815448314,0.17228878577835613,2.207742655908591
scene-0269,5,0.004372767741133282,0.443,0.0,14,1,0.48811455880763915,0.12519188383548913,0.2275988463221432,2.447120906878655
scene-0270,1,,0.0,0.0,0,0,,,,3.6685248184674664
scene-0271,4,0.09799610942422932,0.25,0.0,0,18,0.19321336832978628,0.06838234333965801,0.1650788183129713,0.9316589147739087
scene-0272,4,0.00026980594453425585,0.3375,0.0,0,13,0.3690694001219672,0.07858471870691708,0.235479316046811,3.8757507254977366
scene-0273,5,0.00918952068422866,0.329,0.0,0,17,0.7142850787288335,0.205956798045735,0.2661565447398186,3.1441331100252112
scene-0274,9,0.0,0.2922222222222222,0.016666666666666666,66,83,0.5188607298318464,0.1229237106931132,0.26504198265746054,2.2428315361699345
scene-0275,9,0.0,0.3022222222222222,0.035,75,205,0.08908759376950634,0.059642266597523017,0.12552077623500713,1.9221085302796954
scene-0276,12,0.0,0.05458333333333333,0.017916666666666668,40,320,0.31301817522393477,0.13199624975210977,0.1737621037094525,1.9804811512552234
scene-0277,5,0.002785876041385097,0.146,0.0,3,9,0.43327486229444256,0.1695354618174037,0.206364231346083,2.100413753133463
scene-0278,15,0.0,0.12366666666666666,0.084,85,546,0.135897753449522,0.03581941929681483,0.08982616927514542,0.5556081447941579
scene-0329,20,0.0,0.24425,0.07225,382,2000,0.06339593206097503,0.003687578865244202,0.019955167635657967,0.15286902208694894
scene-0330,14,0.0007340617266124667,0.23714285714285716,0.0,9,597,0.0233066131255333,0.0294560738534878,0.1543750824088237,0.6737988150581942
scene-0331,42,0.0,0.07535714285714286,0.060833333333333336,505,5692,0.12550565738741307,0.02097758172815677,0.09127007082414705,0.40167290810391165
scene-0332,47,0.0,0.07882978723404255,0.009574468085106383,96,4147,0.025872288597550173,0.004375706915777546,0.029162411427726746,0.20942484478863563
scene-0344,9,0.0,0.21777777777777776,0.06833333333333333,168,698,0.474465502194628,0.09252980216681646,0.3103920858773476,1.6494749034178164
scene-0345,11,0.0,0.03090909090909091,0.005909090909090909,16,747,0.15795059547768162,0.057927747408651434,0.2173782918671538,1.1355754313551771
scene-0346,2,0.2155651345490895,0.0,0.0,0,0,0.2741645132315253,0.04630119270591843,0.2238968710860376,3.277919668198416
scene-0519,26,0.0,0.23576923076923076,0.085,496,1098,0.3582422560470187,0.03959816758707916,0.13452012562060148,0.8040295357593178
scene-0520,22,0.0,0.07522727272727273,0.09477272727272727,457,878,0.30029049898425725,0.04122992245048611,0.16690035864843777,0.701923860749564
